time [s],position [m],elevation xf [m]
0.2075,-1.08265881896295e-05,1.25471285596009e-06
0.208,-1.09145067486762e-05,1.26756006067633e-06
0.2085,-1.10028082321136e-05,1.28048984479347e-06
0.209,-1.10914914965302e-05,1.29350238984548e-06
0.2095,-1.1180555372136e-05,1.30659787589448e-06
0.21,-1.12699986627194e-05,1.31977648152951e-06
0.2105,-1.13598201455756e-05,1.33303838385939e-06
0.211,-1.14500185714727e-05,1.3463837585159e-06
0.2115,-1.15405926645911e-05,1.35981277963749e-06
0.212,-1.16315411224758e-05,1.37332561987258e-06
0.2125,-1.17228626159931e-05,1.38692245037293e-06
0.213,-1.18145557892833e-05,1.40060344079577e-06
0.2135,-1.19066192597118e-05,1.41436875928849e-06
0.214,-1.19990516178347e-05,1.42821857249986e-06
0.2145,-1.20918514273527e-05,1.44215304555523e-06
0.215,-1.21850172250671e-05,1.45617234207308e-06
0.2155,-1.22785475208513e-05,1.47027662415195e-06
0.216,-1.23724407976071e-05,1.48446605236401e-06
0.2165,-1.24666955112299e-05,1.49874078575762e-06
0.217,-1.25613100905794e-05,1.51310098184546e-06
0.2175,-1.26562829374416e-05,1.52754679661495e-06
0.218,-1.27516124265041e-05,1.54207838450692e-06
0.2185,-1.28472969053227e-05,1.55669589842599e-06
0.219,-1.29433346942932e-05,1.571399489725e-06
0.2195,-1.30397240866327e-05,1.58618930821433e-06
0.22,-1.3136463348347e-05,1.60106550214811e-06
0.2205,-1.32335507182128e-05,1.61602821822461e-06
0.221,-1.33309844077533e-05,1.63107760158402e-06
0.2215,-1.34287626012237e-05,1.64621379579841e-06
0.222,-1.3526883455588e-05,1.66143694288014e-06
0.2225,-1.3625345100502e-05,1.67674718326063e-06
0.223,-1.37241456383071e-05,1.6921446558065e-06
0.2235,-1.38232831440072e-05,1.7076294978038e-06
0.224,-1.39227556652642e-05,1.72320184495274e-06
0.2245,-1.4022561222383e-05,1.73886183137631e-06
0.225,-1.41226978083086e-05,1.75460958960396e-06
0.2255,-1.4223163388615e-05,1.77044525057166e-06
0.226,-1.43239559014993e-05,1.78636894362793e-06
0.2265,-1.44250732577888e-05,1.80238079651302e-06
0.227,-1.45265133409236e-05,1.81848093536909e-06
0.2275,-1.46282740069714e-05,1.834669484731e-06
0.228,-1.47303530846169e-05,1.85094656752811e-06
0.2285,-1.4832748375177e-05,1.86731230506887e-06
0.229,-1.49354576525945e-05,1.88376681704933e-06
0.2295,-1.50384786634532e-05,1.90031022154505e-06
0.23,-1.51418091269813e-05,1.91694263500552e-06
0.2305,-1.52454467350664e-05,1.93366417225424e-06
0.231,-1.53493891522625e-05,1.9504749464801e-06
0.2315,-1.54536340158055e-05,1.96737506924056e-06
0.232,-1.55581789356286e-05,1.98436465044936e-06
0.2325,-1.56630214943798e-05,2.00144379838123e-06
0.233,-1.57681592474373e-05,2.01861261966498e-06
0.2335,-1.58735897229349e-05,2.03587121927385e-06
0.234,-1.59793104217818e-05,2.0532197005299e-06
0.2345,-1.6085318817682e-05,2.07065816509757e-06
0.235,-1.61916123571652e-05,2.08818671297676e-06
0.2355,-1.62981884596169e-05,2.10580544250096e-06
0.236,-1.64050445172977e-05,2.12351445033377e-06
0.2365,-1.65121778953817e-05,2.14131383147046e-06
0.237,-1.66195859319831e-05,2.15920367921485e-06
0.2375,-1.6727265938199e-05,2.17718408519886e-06
0.238,-1.68352151981356e-05,2.19525513936318e-06
0.2385,-1.69434309689509e-05,2.21341692995558e-06
0.239,-1.70519104808954e-05,2.23166954353261e-06
0.2395,-1.71606509373478e-05,2.2500130649458e-06
0.24,-1.72696495148649e-05,2.26844757734897e-06
0.2405,-1.73789033632189e-05,2.28697316217729e-06
0.241,-1.74884096054482e-05,2.30558989916005e-06
0.2415,-1.75981653379074e-05,2.32429786630404e-06
0.242,-1.77081676303064e-05,2.34309713989772e-06
0.2425,-1.78184135257813e-05,2.36198779449248e-06
0.243,-1.79289000409266e-05,2.38096990291931e-06
0.2435,-1.80396241658667e-05,2.40004353626199e-06
0.244,-1.81505828643031e-05,2.41920876386707e-06
0.2445,-1.82617730735767e-05,2.43846565333035e-06
0.245,-1.8373191704726e-05,2.45781427049591e-06
0.2455,-1.84848356425566e-05,2.47725467945078e-06
0.246,-1.85967017456933e-05,2.49678694251539e-06
0.2465,-1.87087868466567e-05,2.51641112025128e-06
0.247,-1.88210877519226e-05,2.5361272714327e-06
0.2475,-1.89336012419988e-05,2.5559354530606e-06
0.248,-1.90463240714882e-05,2.57583572035094e-06
0.2485,-1.91592529691693e-05,2.59582812672844e-06
0.249,-1.92723846380633e-05,2.61591272382138e-06
